link,product_name,keywords,province,star_review,amount_rating,amount_sold,product_list,original_price,discount_price,per_discount,store,recom_or_official,marketplace,itemId,shopId
https://www.lazada.co.th/products/eggyday-100g-i5218923602.html,Eggyday ข้าวไข่ขาว เส้นไข่ขาว ไร้แป้ง โปรตีนสูง คีโตทานได้ ขนาด 100g.,"เส้นไข่ขาว, ข้าวไข่ขาว",กรุงเทพมหานคร,5.0,2,60 ชิ้น,"เส้นราเมนไข่ขาว, เส้นหมี่ ไข่ขาว, ข้าวไข่ขาว",69,69,,Triplebeauty,,lazada,5218923602,100234494238
https://www.lazada.co.th/products/7-eggyday-keto-100-3-i3138543052.html,(แพค 7 ซอง)  eggyday เส้นโปรตีนไข่ขาว โปรตีนสูง อร่อย ไม่คาว ไร้แป้ง Keto พร้อมทาน 100 กรัม แบบเส้นหมี่และเส้นราเมน เทียบเท่าไข่ขาว 3 ฟอง เพื่อสุขภาพ,โปรตีนไข่ขาว,กรุงเทพมหานคร,4.948275862068965,174,685 ชิ้น,"เส้นหมี่ล้วน, ราเมนล้วน, เส้นหมี่ 4 ราเมน 3, เส้นหมี่ 3 ราเมน 4",553,483,13%,Eggyday Store,,lazada,3138543052,100195518243
https://www.lazada.co.th/products/-i2727562727.html,(เส้นคีโต) เส้นไข่ขาวคีโต เส้นหมี่ไข่ขาว สปาเกตตี้ไร้แป้ง  นุ่มอร่อย,"เส้นไข่ขาว, เส้นหมี่ไข่ขาว",กรุงเทพมหานคร,4.9,70,742 ชิ้น,เส้นสปาเก็ตตี้,85,85,,Tasty Easy Keto คีโตอร่อยง่ายๆ,,lazada,2727562727,100192488174
https://www.lazada.co.th/products/keto-i5096834053.html,KETO ราคาส่งเส้นไข่ขาว เส้นหมี่ไข่ขาว สปาเก็ตตตี้ รสชาติดี อร่อย ขายดี 🔥,"เส้นไข่ขาว, เส้นหมี่ไข่ขาว",ปทุมธานี,5.0,4,17 ชิ้น,"บุก160 กรัม 8A, ไข่มุกจากไข่ขาว 60A, อัลมอนด์ผสมเคล 63A, เส้นหมี่ไข่ขาว 65A, เส้นราเมงไข่ขาว 66A",30,30,,ร้านนิยมสุขภาพ (ราคาถูก ส่งไว),,lazada,5096834053,100683008141
https://www.lazada.co.th/products/1-3-nimnim-i5150523723.html,นิ่มนิ่ม เส้นไข่ขาว ไร้แป้ง ไร้ไขมัน พร้อมทาน 1 ซอง มีให้เลือก 3 แบบ เส้นไข่ขาว NimNim คีโตทานได้,เส้นไข่ขาว,กรุงเทพมหานคร,,,6 ชิ้น,"เส้นไข่ขาว, เส้นหมี่ไข่ขาว, เส้นสปาเกตตี้",85,85,,ออลนิสต้า,,lazada,5150523723,100730704672
https://www.lazada.co.th/products/eggyday-100x10-keto-i4819820502.html,Eggyday เส้น โปรตีนไข่ขาว ไร้แป้ง (หมี่/ราเมน) (100ก.x10ซอง) คลีน คีโต ผู้สูงอายุ ผู้ป่วย โรคไต มะเร็ง เบาหวาน เส้นไข่ขาว เส้นหมี่คีโต ไข่ขาว keto,"เส้นไข่ขาว, โปรตีนไข่ขาว",ปทุมธานี,5.0,4,30 ชิ้น,"เส้นหมี่ ไข่ขาว, เส้นราเมน ไข่ขาว",790,669,15%,Care Corner and More,,lazada,4819820502,100467440557
https://www.lazada.co.th/products/nimnim-100-i4145818049.html,nimnim เส้นไข่ขาว เส้นหมี่ไข่ขาว เส้นสปาเก็ตตี้ไข่ขาว เส้นคีโตน  เส้นนิ่มนิ่ม ล็อตใหม่ เส้นไข่ขาว 100% โปรตีนแน่น,"เส้นไข่ขาว, เส้นหมี่ไข่ขาว",กรุงเทพมหานคร,4.857142857142857,7,77 ชิ้น,"เส้นสปาเก็ตตี้ไข่ขาว, เส้นไข่ขาว, เส้นหมี่ไข่ขาว",85,72,15%,HealthyPop,,lazada,4145818049,100238574983
https://www.lazada.co.th/products/100-keto-homemade-i4382985689.html,เส้นไข่ขาว (เส้นหมี่) ถุงเล็ก 100กรัม (Keto Homemade),เส้นไข่ขาว,เชียงใหม่,4.901960784313726,51,266 ชิ้น,,55,55,,เส้นไข่ขาว Rainny Keto,,lazada,4382985689,100251342479
https://www.lazada.co.th/products/eggyday-100-i5158506499.html,Eggyday  เส้นไข่ขาวไร้แป้ง เส้นโปรตีนไข่ขาว ข้าวไข่ขาว ขนาด100กรัม แบบเส้นหมี่และเส้นราเมน ไม่มีแป้ง ไม่มีน้ำตาล,"เส้นไข่ขาว, โปรตีนไข่ขาว, ข้าวไข่ขาว",สุราษฎร์ธานี,5.0,8,48 ชิ้น,"เส้นหมี่, เส้นราเมน, ข้าวไข่ขาว",69,69,,Baandonfresh,,lazada,5158506499,100198470239
https://www.lazada.co.th/products/eggyday-100x6-keto-i4819824428.html,Eggyday เส้น โปรตีนไข่ขาว ไร้แป้ง (หมี่/ราเมน) (100ก.x6ซอง) คลีน คีโต ผู้สูงอายุ ผู้ป่วย โรคไต มะเร็ง เบาหวาน เส้นไข่ขาว เส้นหมี่คีโต ไข่ขาว keto,"เส้นไข่ขาว, โปรตีนไข่ขาว",ปทุมธานี,5.0,10,34 ชิ้น,"เส้นหมี่, เส้นราเมน",474,439,7%,Care Corner and More,,lazada,4819824428,100467440557
